1293076920	20260308	202603	2026	2026.1863											EDU	UNIVERSITY						EDU			0	120	120	12	3	-4.0	1	1	1	-4.50704225352113	0								4	Silivri, Istanbul, Turkey	TU	TU34	27911	41.0802	28.2261	-770788	4	Silivri, Istanbul, Turkey	TU	TU34	27911	41.0802	28.2261	-770788	20260308094500	https://thefrontierpost.com/turkeys-jailed-mayor-says-demand-for-change-cannot-be-stopped/
1293076921	20260308	202603	2026	2026.1863											EDU	UNIVERSITY						EDU			0	190	190	19	4	-10.0	1	1	1	-2.30664857530529	0								4	Bertoua, Est, Cameroon	CM	CM04	18585	4.58333	13.6833	-3146572	4	Bertoua, Est, Cameroon	CM	CM04	18585	4.58333	13.6833	-3146572	20260308094500	https://www.universityworldnews.com/post.php?story=20260304085745989
1293076922	20260308	202603	2026	2026.1863											EDU	STUDENT						EDU			0	190	190	19	4	-10.0	5	1	5	-6.6588785046729	0								4	Arsi, Oromiya, Ethiopia	ET	ET51	149294	7.5	39.5	-604629	4	Arsi, Oromiya, Ethiopia	ET	ET51	149294	7.5	39.5	-604629	20260308094500	https://www.afriquesenlutte.org/afrique-de-l-est/ethiopie/article/interview-ethiopia-s-bloody
1293076923	20260308	202603	2026	2026.1863											ETH	ADDIS ABABA	ETH								1	020	020	02	1	3.0	2	1	2	-6.6588785046729	0								4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	20260308094500	https://www.afriquesenlutte.org/afrique-de-l-est/ethiopie/article/interview-ethiopia-s-bloody
1293076924	20260308	202603	2026	2026.1863											ETH	ADDIS ABABA	ETH								1	141	141	14	3	-6.5	2	1	2	-6.6588785046729	0								4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	20260308094500	https://www.afriquesenlutte.org/afrique-de-l-est/ethiopie/article/interview-ethiopia-s-bloody
1293076925	20260308	202603	2026	2026.1863											GBR	UNITED KINGDOM	GBR								1	040	040	04	1	1.0	2	1	2	2.68817204301075	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20260308094500	https://www.walesonline.co.uk/lifestyle/tv/what-time-harry-styles-netflix-33539029
1293076926	20260308	202603	2026	2026.1863											GBR	MANCHESTER	GBR								1	042	042	04	1	1.9	10	1	10	3.7037037037037	0								0								0								20260308094500	https://www.manchestereveningnews.co.uk/whats-on/music-nightlife-news/harry-styles-one-night-manchester-33551348
1293076927	20260308	202603	2026	2026.1863											GBR	LONDON	GBR								1	042	042	04	1	1.9	7	1	7	4.45682451253482	0								4	Greater London, United Kingdom (general), United Kingdom	UK	UK00	40110	51.5	-0.166667	-2597512	4	Greater London, United Kingdom (general), United Kingdom	UK	UK00	40110	51.5	-0.166667	-2597512	20260308094500	https://eturbonews.com/curry-goes-global/
1293076928	20260308	202603	2026	2026.1863											GBR	UNITED KINGDOM	GBR								0	042	042	04	1	1.9	1	1	1	-3.22255790533736	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	5	Gloucestershire, Gloucestershire, United Kingdom	UK	UKE6	40113	51.8333	-2.16667	-2597217	20260308094500	https://www.chroniclelive.co.uk/news/uk-news/president-donald-trump-hits-out-33551982
1293076929	20260308	202603	2026	2026.1863											GBR	BRITISH	GBR								1	046	046	04	1	7.0	2	1	2	-1.79558011049724	0								4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	4	Heathrow, Hillingdon, United Kingdom	UK	UKF9	40133	51.4667	-0.45	-2598406	20260308094500	https://www.sharecast.com/news/press-round-up-full-premium/sunday-newspaper-round-up-hs2-universal-studios-park-donald-trump-virgin-atlantic-mothin-ali-wang-yi-new-workers-rights--21967246.html
1293076930	20260308	202603	2026	2026.1863											GBR	BRITISH	GBR								1	060	060	06	2	6.0	2	1	2	-3.22255790533736	0								5	Gloucestershire, Gloucestershire, United Kingdom	UK	UKE6	40113	51.8333	-2.16667	-2597217	5	Gloucestershire, Gloucestershire, United Kingdom	UK	UKE6	40113	51.8333	-2.16667	-2597217	20260308094500	https://www.chroniclelive.co.uk/news/uk-news/president-donald-trump-hits-out-33551982
1293076931	20260308	202603	2026	2026.1863											GBR	UNITED KINGDOM	GBR								0	060	060	06	2	6.0	1	1	1	6.72016048144433	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20260308094500	https://www.universityworldnews.com/post.php?story=20260304095027637
1293076932	20260308	202603	2026	2026.1863											GBR	SHEFFIELD	GBR								0	0874	087	08	2	10.0	8	1	8	1.17845117845118	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20260308094500	https://www.hotpress.com/music/cabaret-voltaire-interview-23132449
1293076933	20260308	202603	2026	2026.1863											GBR	UNITED KINGDOM	GBR								1	173	173	17	4	-5.0	4	1	4	1.21836925960637	0								4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	20260308094500	https://www.tvguide.co.uk/articles/gone-itv-thriller-inspired-by-true-story-of-real-life-detective-who-solved-one-of-bristols-most-infamous-cold-case-murders/
1293076934	20260308	202603	2026	2026.1863											GOV	GOVERNMENT OFFICIAL						GOV			0	040	040	04	1	1.0	10	1	10	-6.6588785046729	0								4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	20260308094500	https://www.afriquesenlutte.org/afrique-de-l-est/ethiopie/article/interview-ethiopia-s-bloody
1293076935	20260308	202603	2026	2026.1863											GOV	PRESIDENT						GOV			1	050	050	05	1	3.5	3	1	3	3.36787564766839	0								1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20260308094500	https://finance.yahoo.com/news/acg-metals-targets-mid-copper-071505550.html
1293076936	20260308	202603	2026	2026.1863											GOV	INTERIOR MINIST						GOV			0	190	190	19	4	-10.0	2	1	2	-3.29886755292959	0								4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20260308094500	https://www.irishtimes.com/world/middle-east/2026/03/08/live-israel-iran-us-war-latest-updates-gulf-states/
1293076937	20260308	202603	2026	2026.1863											GOVMIL	SECRETARY OF DEFENSE						GOV	MIL		1	043	043	04	1	2.8	10	1	10	-4.77497255762898	0								1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	20260308094500	https://www.theguardian.com/us-news/2026/mar/08/pete-hegseth-pentagon-trump-iran
1293076938	20260308	202603	2026	2026.1863											IND	DELHI	IND								1	190	190	19	4	-10.0	10	1	10	-3.00300300300301	0								5	Uttarakhand, Uttaranchal, India	IN	IN39	70282	30.25	79.25	6240779	5	Uttarakhand, Uttaranchal, India	IN	IN39	70282	30.25	79.25	6240779	20260308094500	https://aninews.in/news/entertainment/bollywood/sabko-upar-wala-dekh-raha-hai-aly-goni-slams-trolls-after-youtuber-anurag-dobhal-injured-in-instagram-live-car-crash20260308141057/
1293076939	20260308	202603	2026	2026.1863											IRL	IRELAND	IRL								0	042	042	04	1	1.9	6	6	6	-1.28022759601707	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20260308094500	https://www.gazetteseries.co.uk/news/national/25917558.relieved-family-reunions-dublin-airport-chartered-flight-lands/
1293076940	20260308	202603	2026	2026.1863											IRL	IRISH	IRL								1	042	042	04	1	1.9	6	1	6	-0.294969260860332	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20260308094500	https://www.irishtimes.com/your-money/2026/03/08/aib-chief-colin-hunts-27m-pay-reflects-return-to-international-norms/
1293076941	20260308	202603	2026	2026.1863											IRL	IRELAND	IRL								0	192	192	19	4	-9.5	4	1	4	1.29358830146232	0								4	Drogheda, Louth, Ireland	EI	EI19	18299	53.7189	-6.34778	-1502467	4	Drogheda, Louth, Ireland	EI	EI19	18299	53.7189	-6.34778	-1502467	20260308094500	https://www.irishtimes.com/life-style/people/2026/03/08/gen-zine-young-people-are-ditching-digital-for-home-made-publications-and-community/
1293076942	20260308	202603	2026	2026.1863											IRN	IRAN	IRN								0	014	014	01	1	0.0	8	1	8	-1.96428571428572	0								4	Kurdistan, Khuzestan, Iran	IR	IR15	41008	30.6693	50.2055	-3072067	4	Kurdistan, Khuzestan, Iran	IR	IR15	41008	30.6693	50.2055	-3072067	20260308094500	https://www.jpost.com/middle-east/iran-news/article-889210
